Pos,T,H2,O2,N2,H2O,Q
1.100000000000e-02,4.703894880725e+02,3.186367187095e-03,2.202535202213e-01,7.593225860954e-01,1.713652363526e-02,2.247192382313e+01
1.102500000000e-02,4.722766310832e+02,3.169293341065e-03,2.201133038521e-01,7.592971057919e-01,1.731800457030e-02,2.333488115458e+01
1.105000000000e-02,4.741798757255e+02,3.152209135225e-03,2.199717432593e-01,7.592716691197e-01,1.750078353460e-02,2.423326239588e+01
1.107500000000e-02,4.760992791224e+02,3.135114901360e-03,2.198288325507e-01,7.592462810938e-01,1.768486100274e-02,2.516865766426e+01
1.110000000000e-02,4.780348975833e+02,3.118010969778e-03,2.196845658882e-01,7.592209467638e-01,1.787023736204e-02,2.614273641732e+01
1.112500000000e-02,4.799867865999e+02,3.100897669247e-03,2.195389374888e-01,7.591956712126e-01,1.805691291340e-02,2.715725187373e+01
1.115000000000e-02,4.819550008414e+02,3.083775326953e-03,2.193919416246e-01,7.591704595555e-01,1.824488787209e-02,2.821404570776e+01
1.117500000000e-02,4.839395941514e+02,3.066644268439e-03,2.192435726231e-01,7.591453169391e-01,1.843416236855e-02,2.931505303644e+01
1.120000000000e-02,4.859406195433e+02,3.049504817561e-03,2.190938248671e-01,7.591202485405e-01,1.862473644927e-02,3.046230771962e+01
1.122500000000e-02,4.879581291980e+02,3.032357296437e-03,2.189426927956e-01,7.590952595658e-01,1.881661007763e-02,3.165794799443e+01
1.125000000000e-02,4.899921744601e+02,3.015202025396e-03,2.187901709031e-01,7.590703552498e-01,1.900978313487e-02,3.290422246767e+01
1.127500000000e-02,4.920428058358e+02,2.998039322937e-03,2.186362537405e-01,7.590455408540e-01,1.920425542093e-02,3.420349649111e+01
1.130000000000e-02,4.941100729902e+02,2.980869505675e-03,2.184809359149e-01,7.590208216664e-01,1.940002665548e-02,3.555825894688e+01
1.132500000000e-02,4.961940247452e+02,2.963692888305e-03,2.183242120897e-01,7.589962030002e-01,1.959709647883e-02,3.697112947189e+01
1.135000000000e-02,4.982947090778e+02,2.946509783548e-03,2.181660769847e-01,7.589716901925e-01,1.979546445295e-02,3.844486615226e+01
1.137500000000e-02,5.004121731188e+02,2.929320502117e-03,2.180065253764e-01,7.589472886036e-01,1.999513006248e-02,3.998237371931e+01
1.140000000000e-02,5.025464631512e+02,2.912125354363e-03,2.178455522242e-01,7.589230040566e-01,2.019609272749e-02,4.158671227349e+01
1.141250000000e-02,5.036199426933e+02,2.903525613199e-03,2.177645280103e-01,7.589109071197e-01,2.029706297956e-02,4.241506289751e+01
1.142500000000e-02,5.046976535005e+02,2.894924521228e-03,2.176831453534e-01,7.588988413572e-01,2.039835804820e-02,4.326138102351e+01
1.145000000000e-02,5.068657735191e+02,2.877718562534e-03,2.175193081822e-01,7.588748069169e-01,2.060191681121e-02,4.500940564371e+01
1.147500000000e-02,5.090508534588e+02,2.860507650033e-03,2.173540341424e-01,7.588509053688e-01,2.080677040804e-02,4.683447860596e+01
1.150000000000e-02,5.112529362030e+02,2.843292083773e-03,2.171873182932e-01,7.588271421730e-01,2.101291795222e-02,4.874038170909e+01
1.152500000000e-02,5.134720637860e+02,2.826072161562e-03,2.170191557506e-01,7.588035228061e-01,2.122035848641e-02,5.073110553374e+01
1.155000000000e-02,5.157082773931e+02,2.808848178923e-03,2.168495416868e-01,7.587800527608e-01,2.142909098347e-02,5.281086236900e+01
